DATAFLOW,LAST UPDATE,freq,unit,isced11,indic_wb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,HU,2013,6.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,HU,2018,6.5,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,HU,2021,6.5,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,IE,2013,7.4,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,IE,2018,8.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,IE,2021,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,IS,2013,7.9,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,IS,2018,7.9,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,IT,2013,6.7,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,IT,2018,7.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,IT,2021,7.2,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,LT,2013,6.7,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,LT,2018,6.4,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,LT,2021,7.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,LU,2013,7.5,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,LU,2018,7.6,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,LU,2021,7.4,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,LV,2013,6.5,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,LV,2018,6.7,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,LV,2021,6.7,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,MT,2013,7.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,MT,2018,7.5,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,MT,2021,7.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,NL,2013,7.8,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,NL,2018,7.7,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,NL,2021,7.6,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,NO,2013,7.9,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,NO,2018,8.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,PL,2013,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,PL,2018,7.8,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,PL,2021,7.5,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,PT,2013,6.2,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,PT,2018,6.7,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,PT,2021,7.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,RO,2013,7.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,RO,2018,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,RO,2021,7.7,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,RS,2013,4.9,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,RS,2018,5.6,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,RS,2021,6.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,SE,2013,7.9,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,SE,2018,7.8,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,SE,2021,7.5,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,SI,2013,7.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,SI,2018,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,SI,2021,7.5,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,SK,2013,7.0,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,SK,2018,7.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,SK,2021,7.1,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,TR,2013,5.7,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,TR,2018,5.7,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,TR,2021,5.6,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,UK,2013,7.3,
ESTAT:ILC_PW01(1.0),29/09/23 23:00:00,A,RTG,TOTAL,LIFESAT,T,Y_GE16,UK,2018,7.6,
